,SPY,EWU,EWJ,EWG,EWQ,EWC,EWL,EWA,EWN,EWD
SPY,1.0,0.7949794218766613,0.7215264806751122,0.7938369942837809,0.7894043230871206,0.8128218541472271,0.5907582972312896,0.8008479853717732,0.8191395350167205,0.7806422300572442
EWU,0.7949794218766613,1.0,0.7016856422539578,0.8636960292203559,0.8849806516612512,0.817065285592385,0.6515155708338116,0.8306601948954752,0.8408995215723039,0.8450259762855905
EWJ,0.7215264806751122,0.7016856422539578,1.0,0.7032777837407612,0.6984314263746205,0.6562581121669,0.5220989540392299,0.6870364018115208,0.7069102620840947,0.6817879235038793
EWG,0.7938369942837809,0.8636960292203559,0.7032777837407612,1.0,0.9437651930090714,0.7616326216314798,0.6624587430979918,0.7737189153747213,0.9078201786416292,0.8872254568578951
EWQ,0.7894043230871206,0.8849806516612512,0.6984314263746205,0.9437651930090714,1.0,0.7697076751966583,0.6731433156648373,0.7868101300745525,0.9103599603540984,0.8885357863433585
EWC,0.8128218541472271,0.817065285592385,0.6562581121669,0.7616326216314798,0.7697076751966583,1.0,0.5763952135991982,0.8262311174377613,0.7514678117386622,0.7685246875687874
EWL,0.5907582972312896,0.6515155708338116,0.5220989540392299,0.6624587430979918,0.6731433156648373,0.5763952135991982,1.0,0.5912335341647159,0.6548304416642019,0.6526833349951047
EWA,0.8008479853717732,0.8306601948954752,0.6870364018115208,0.7737189153747213,0.7868101300745525,0.8262311174377613,0.5912335341647159,1.0,0.7669142354486577,0.778530295875938
EWN,0.8191395350167205,0.8408995215723039,0.7069102620840947,0.9078201786416292,0.9103599603540984,0.7514678117386622,0.6548304416642019,0.7669142354486577,1.0,0.8764724518341233
EWD,0.7806422300572442,0.8450259762855905,0.6817879235038793,0.8872254568578951,0.8885357863433585,0.7685246875687874,0.6526833349951047,0.778530295875938,0.8764724518341233,1.0
