,Q,Omega
2005-11-25,0.0031543459629296846,0.004211111692550548
2005-11-28,0.002623856175930673,0.0042037639629879915
2005-11-29,0.002430455533062347,0.004196647834165303
2005-11-30,0.00291541411385535,0.004142426368395852
2005-12-01,0.002658549804348982,0.004170613318890858
2005-12-02,0.0027332686749066003,0.004194419365707614
2005-12-05,0.0031426008102930897,0.004191224332151567
2005-12-06,0.0033567970301159075,0.004212184288549051
2005-12-07,0.003389389650101798,0.0042094962231161385
2005-12-08,0.002966803565979835,0.0042331837606634296
2005-12-09,0.003016007482752682,0.004238434657492415
2005-12-12,0.0036433468273092975,0.004230172597529205
2005-12-13,0.003782662783336743,0.004235598907601156
2005-12-14,0.003570412851681617,0.004224502471651949
2005-12-15,0.003938694757122007,0.004190184582820586
2005-12-16,0.0038028481852714364,0.004224005169899148
2005-12-19,0.004326003972757691,0.004146349233099174
2005-12-20,0.004649229504997218,0.004092729415884615
2005-12-21,0.00458640673940758,0.004100198766401264
2005-12-22,0.004656668450916969,0.004100651325256399
2005-12-23,0.004558302435907641,0.004100217637442709
2005-12-27,0.0043957488484684774,0.004132095334117894
2005-12-28,0.004136803436090813,0.004096326648161913
2005-12-29,0.004345999448982635,0.004089246021787544
2005-12-30,0.0047368584851603555,0.004111210149058127
2006-01-03,0.004659674733088128,0.004117935535030262
2006-01-04,0.005836858990833168,0.004532475617455107
2006-01-05,0.006045951495916186,0.00457412538631544
2006-01-06,0.005915801529862415,0.0045817184107825246
2006-01-09,0.005958292461753333,0.004587932292232855
2006-01-10,0.005760405727033295,0.004589782223219536
2006-01-11,0.005265820935263729,0.004607325838609398
2006-01-12,0.006148061872136006,0.004574850187616955
2006-01-13,0.005908277672864845,0.0046026041000057655
2006-01-17,0.0063483391267648666,0.0046010343428007135
2006-01-18,0.006092392483068158,0.004601799536467221
2006-01-19,0.005225432270691363,0.004578572210366475
2006-01-20,0.0058996288683439415,0.0045287635959307265
2006-01-23,0.005270042944574026,0.004562960065471892
2006-01-24,0.006317329376430077,0.004664667347774491
2006-01-25,0.006205802294895576,0.0046693052382015664
2006-01-26,0.006195845809462921,0.00467036163665485
2006-01-27,0.006580296623683608,0.004666742853145206
2006-01-30,0.006701083460895018,0.004649325089628188
2006-01-31,0.006409586783433759,0.004653302853570554
2006-02-01,0.0065178233513212835,0.004662382876347751
2006-02-02,0.006443360036348275,0.004663556982593744
2006-02-03,0.005697688518261319,0.004591052204299335
2006-02-06,0.005557606259072951,0.004596341570035514
2006-02-07,0.005599677033665651,0.004589233809660111
2006-02-08,0.0056484978585397885,0.00458620230229055
2006-02-09,0.006392887665009544,0.004516564000735183
2006-02-10,0.0063760276176117,0.004516009588893209
2006-02-13,0.006669022411123952,0.0045331005610139505
2006-02-14,0.006586217685208901,0.004554009662748771
2006-02-15,0.00632605330112689,0.004510582924875809
2006-02-16,0.0062367484934358446,0.004527779199533405
2006-02-17,0.005999772184555027,0.0044748069988281266
2006-02-21,0.006246068744673168,0.004461351572331382
2006-02-22,0.006724903416057772,0.004480340852820128
2006-02-23,0.006760842431484034,0.004482045068043685
2006-02-24,0.0066155008800766095,0.004493282212141373
2006-02-27,0.006189240941110141,0.004479785044142095
2006-02-28,0.0061440836440342156,0.004482787530904477
2006-03-01,0.0059071809534094405,0.004491038695774455
2006-03-02,0.006615500880076611,0.004484187120480109
2006-03-03,0.006695131540164478,0.004493971925441993
2006-03-06,0.006662141723183283,0.0044941005797663495
2006-03-07,0.006571127597280899,0.004504055299094387
2006-03-08,0.006120629401525125,0.004579834518583713
2006-03-09,0.005946595100098677,0.00456570636748743
2006-03-10,0.005750929495565983,0.004594508259646975
